"","country","year","cellphones"
"4179","Cote d'Ivoire","1980",0
"4180","Croatia","1980",0
"4181","Cuba","1980",0
"4182","Cyprus","1980",0
"4183","Czech Republic","1980",0
"4184","Czechoslovakia","1980",0
"4185","Denmark","1980",0
"4186","Djibouti","1980",0
"4187","Dominica","1980",0
"4188","Dominican Republic","1980",0
"4189","East Germany","1980",0
"4190","Ecuador","1980",0
"4191","Egypt","1980",0
"4192","El Salvador","1980",0
"4193","Equatorial Guinea","1980",0
"4194","Eritrea","1980",0
"4195","Eritrea and Ethiopia","1980",0
"4196","Estonia","1980",0
"4197","Ethiopia","1980",0
"4198","Faeroe Islands","1980",0
"4199","Falkland Is (Malvinas)","1980",0
"4200","Fiji","1980",0
"4201","Finland","1980",0.491307855569467
"4202","France","1980",0
"4203","French Guiana","1980",0
"4204","French Polynesia","1980",0
"4205","Gabon","1980",0
"4206","Gambia","1980",0
"4207","Georgia","1980",0
"4208","Germany","1980",0
"4209","Ghana","1980",0
"4210","Gibraltar","1980",0
"4211","Greece","1980",0
"4212","Greenland","1980",0
"4213","Grenada","1980",0
"4214","Guadeloupe","1980",0
"4215","Guam","1980",0
"4216","Guatemala","1980",0
"4217","Guernsey","1980",0
"4218","Guinea","1980",0
"4219","Guinea-Bissau","1980",0
"4220","Guyana","1980",0
"4221","Haiti","1980",0
"4222","Holy See","1980",0
"4223","Honduras","1980",0
"4224","Hong Kong, China","1980",0
"4225","Hungary","1980",0
"4226","Iceland","1980",0
"4227","India","1980",0
"4228","Indonesia","1980",0
"4229","Iran","1980",0
"4230","Iraq","1980",0
"4231","Ireland","1980",0
"4232","Isle of Man","1980",0
"4233","Israel","1980",0
"4234","Italy","1980",0
"4235","Jamaica","1980",0
"4236","Japan","1980",0
"4237","Jersey","1980",0
"4238","Jordan","1980",0
"4239","Kazakhstan","1980",0
"4240","Kenya","1980",0
"4241","Kiribati","1980",0
"4242","North Korea","1980",0
"4243","South Korea","1980",0
"4244","United Korea (former)
","1980",0
"4245","Kosovo","1980",0
"4246","Kuwait","1980",0
"4247","Kyrgyz Republic","1980",0
"4248","Lao","1980",0
"4249","Latvia","1980",0
"4250","Lebanon","1980",0
"4251","Lesotho","1980",0
"4252","Liberia","1980",0
"4253","Libya","1980",0
"4254","Liechtenstein","1980",0
"4255","Lithuania","1980",0
"4256","Luxembourg","1980",0
"4257","Macao, China","1980",0
"4258","Macedonia, FYR","1980",0
"4259","Madagascar","1980",0
"4260","Malawi","1980",0
"4261","Malaysia","1980",0
"4262","Maldives","1980",0
"4263","Mali","1980",0
"4264","Malta","1980",0
"4265","Marshall Islands","1980",0
"4266","Martinique","1980",0
"4267","Mauritania","1980",0
"4268","Mauritius","1980",0
"4269","Mayotte","1980",0
"4270","Mexico","1980",0
"4271","Micronesia, Fed. Sts.","1980",0
"4272","Moldova","1980",0
"4273","Monaco","1980",0
"4274","Mongolia","1980",0
"4275","Montenegro","1980",0
"4276","Montserrat","1980",0
